FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
der,"ザ, その, それ",,de-DE,ja-JP
und,"且(つ), 又, 及び, だって, だの, そして, …だり, 並びに, んで, とか, エンド, さては, が, 且つ又, し, なお, なお, しかして, や, それで, さて, AND, …たり, それから, そうして, と, して, …やら, …やら, 加えて, でもって, でもって",,de-DE,ja-JP
die,"ザ, それ",,de-DE,ja-JP
in,"…には, …の間は, に, へ, ファディッシュ, 地内, ん, 後に, …において, で, で, …の間, の, …にて, …おける, イン, …の中に, …に於ける, インサイド, 地内, 中で, …おいて, ナウい, …にゃ",,de-DE,ja-JP
von,"就いて, に, よりも, ん, から, で, の, …にて, …の中に, デ, …に就いて, 因って",,de-DE,ja-JP
mit,"もって, もって, …をこめて, 共に, で, で, で, …にて, 因って, と, でもって, でもって",,de-DE,ja-JP
zu,"…には, 対する, に, へ, アット, 連れて, …において, から, で, …に対し, …にて, …おける, …につれて, …に於ける, …に対して, 対して, 対す, …おいて, あんまし, …にゃ",,de-DE,ja-JP
das,"の, それは, それ, それ, その事, そりゃ",,de-DE,ja-JP
im,に,,de-DE,ja-JP
für,"…には, 対する, …の間は, ん, …来, …の間, の, …に対し, …にとって, …としては, 代(わ)りに, …に対して, 対して, 対す, …にゃ",,de-DE,ja-JP
auf,"に, …の上の, へ, ん, …において, で, 開いた, の, …にて, 上, …おける, …に於ける, 基に, …おいて",,de-DE,ja-JP
sich,"互(い), 己, 己, 自分の, 自身",,de-DE,ja-JP
eine,"片や, {一人}",,de-DE,ja-JP
ein,"一台, 一つの, オン, とある, 一, 一つ, 一発, 一遍, 一遍, ある, {一人}, さる, 一の, {一人}の, ぽちっと",,de-DE,ja-JP
auch,"一に, 又, だって, やぱ, …にも, 〈矢張〉(り), も, も, 〈流石〉, 図像抄, やっぱ, …とも, 矢っ張り, やっぱし",,de-DE,ja-JP
als,"より, へ, …たら, 際, 時, と",,de-DE,ja-JP
nicht,"はい, 違う, あらず, ノット",,de-DE,ja-JP
an,"傍らに, に, に, へ, アット, そばに, 傍らの, 脇の, …において, くらい, で, 脇に, …にて, …おける, ぐらい, …に於ける, …おいて",,de-DE,ja-JP
werden,"回る, 回る, 相成る, 成る, 赴く, 生成する, おじゃる, 至る, される",,de-DE,ja-JP
Sie,"貴君, 尊台, 何れも方, 御自分, 御身, 貴台, 貴方, あんた, 〈貴方〉方, 子, 子, お前さん, 御辺, 尊兄, 大兄, 貴殿, あれさま, おもと, お身, けい, けい, 〈其方〉, 諸君, 尊堂, 〈其方〉, 貴下, きょう, きょう, 〈其方〉, 〈貴方〉, ご当家, なむだち, 雅兄, いずれもさま, 我が仏, 我が仏, 貴公, 賢兄, 足下, 足下, そっち, うぬら, お内, お内, そこもと, 高台, ユー, 御辺, 貴官",,de-DE,ja-JP
aus,"アウト, ん, オフ, から, で, の, アウツ",,de-DE,ja-JP
bei,"就いて, 傍らに, …に際して, …の側に, アット, 掛けて, そばに, 傍らの, …において, で, …に付け, …にて, …おける, 際, …に於ける, …に付けて, …おいて",,de-DE,ja-JP
er,"あの人, あの人, やっこ, やっこ, 彼氏, あいつ, その方, 向(こ)う, そ, 〈彼方〉, 〈彼奴〉, 某氏, 彼は, 〈此方〉, 先方, 彼, 彼, 彼(の)方, 御仁, 奴め, 奴め, しゃつめ",,de-DE,ja-JP
am,に,,de-DE,ja-JP
sie,"あの人, やっこ, やっこ, やつら, 彼女, 彼女, 彼ら, 彼女ら, あいつ, 彼女を, 彼女は, その方, 向(こ)う, そ, あの人たち, 〈彼方〉, 〈彼奴〉, あいつら, 彼らを, 奴輩, 某氏, 彼女が, 先方, 彼(の)方, 彼らは, 彼女達, 奴め, 奴め, しゃつめ",,de-DE,ja-JP
einer,"片や, 片っ方, {一人}, 片方, 片っぽ",,de-DE,ja-JP
nach,"に, 後, へ, アフター, 後に, から, 後, 後に, 末, 因って",,de-DE,ja-JP
oder,"一に, ないし, あるいは, あるいは, 若(し)くは, 若(し)くは, 又, それとも, 又は, 然らざれば, か, …ぬ, はい, あるは, or, or, はたまた, はた, や, と, …やら, …やら, って言うか, て言うか, てゆーか",,de-DE,ja-JP
einen,一統する,,de-DE,ja-JP
war,だった,,de-DE,ja-JP
um,"…には, 内外, …だけ, に, 近く, 近く, くらい, そこら, ぐらい, そこら辺り, …にゃ",,de-DE,ja-JP
über,"就いて, に, …の上の, 介して, 以上, …強, 頭上に, …に付け, 頭上, 以上の, 上, 上の, …に就いて, …に付けて, 上方に, 経て, スープラ",,de-DE,ja-JP
bis,"ないし, 掛けて, までに, まで",,de-DE,ja-JP
wie,"どう言う, 〈如何〉, さながら, 通り, 通り, どういうふうに, 〈如何〉, 様, 〈如何〉, 〈如何〉, あに, どういう訳で, みたい, みたい, どうやって, えんとして, 〈如何〉して, どの様に, どうとも, いかばかり, 〈如何〉に, して, どんなに, 〈如何〉にして, …の様に, どうやったら",,de-DE,ja-JP
vor,"対する, 以前に, 以前, …外, …に対し, 前に, 前, 前, 前, 前, …に対して, 対して, 対す, 正面に",,de-DE,ja-JP
durch,"以, もって, もって, に, 介して, …を介し, ウエル･ダン, から, で, …にて, …を介して, ウェル･ダン, 因って, 通じて, 通じて, 経て, でもって, でもって",,de-DE,ja-JP
noch,"ほかに, いまだに, やぱ, まだ, 今でも, 〈矢張〉(り), まだまだ, やっぱ, なお, なお, 更, 今もって, もっと, 今なお, 矢っ張り, いまだ, 更に, やっぱし, 今に, 加えて, 今も, 今もなお",,de-DE,ja-JP
haben,"擁する, 具備する, 抱く, 御座います, 帯びる, 抱える, 興す, 現有する, 含有する, 蔵する, 有る, 有る, 有る, 有る, する, 享受する, 持つ, 備える, やる, 備わる, あります, 帯する, 御座る, 裂く, …を具備する, 持っている, 具有する, 持ってる",,de-DE,ja-JP
nur,"単なる, ただ, なけなし, 物の, たった, …のみ, …だけ, 唯, 本の, 高が, 一介, ただに, 一方, たんだ, …しか…ない, 単に, 一つ, オンリー, ばっかし, しかだけ, だけに, …ばっかり, ただ, 一介の, 僅々, …限(り), ばかし, …足らず, ただただ, しか, …きり, 但(し), そこそこ, そこそこ, だけしか",,de-DE,ja-JP
können,"よろしい, よろしい, 差(し)支えない, 出来る, 得る, 得る, …げる",,de-DE,ja-JP
aber,"しかるに, もっとも, そうかと言って, しかしながら, さりながら, しかれども, それとて, けれども, だけども, だが, だって, けど, …たって, だけれど, それでも, にもかかわらず, にもかかわらず, それにしても, ところが, けれど, だけど, が, だけれども, そのかわり, でも, しかし, それなのに, かと言って, 但(し), ばってん, されど, されども, ですが, やけど, なれど, なれども, それだのに, けんど",,de-DE,ja-JP
so,"あの位, あれ位, あれ位, こうして, あんな風に, 通り, こんな具合に, このよう, しからしめる, そんなに, いんも, あれ程, ああして, ああいう風に, この様に, こんなに, かくのごとく, はい, このまま, あのように, そう, あんなに, かほど, ああ, あれしきの, その通り, こんな塩梅に, さて, 然, かく, こう, あれだけ, 左程, かくて, これほど, こういう風に, そうやって, こうやって, こげん",,de-DE,ja-JP
mehr,"もう, 一倍, この上の, 一層, 一層, 更なる, なお, なお, もっと, 一等, 一等, 余計な, より",,de-DE,ja-JP
wir,"こっち, 当方, 僕らは, おれら, こちら, ボクラ, 我ら, 余輩, 予, わたしたち, 我々, 弊社, 当家, 私共, 我(が)輩, 手前共, 我(が)方, 身共, おれ達, 自分達, 内等, こっちとら, こちとら",,de-DE,ja-JP
sein,"…ておる, …でござる, 御座います, います, 候, いらっしゃる, ありんす, まします, おる, おいでる, 存する, …でげす, だ, ごわす, ごわす, …ていらっしゃる, 有る, 有る, する, 御座ります, その, …でございます, いらせられる, やる, ごわんす, ごわんす, おいでになる, あります, です, 御座る, 居る, 御座します, おじゃる, もとのままである, 存在する, である, 彼の, おわす, っす, でやる, どす, おす, す, 御座んす, 御座んす",,de-DE,ja-JP
Es,イド,,de-DE,ja-JP
Jahr,"イヤー, 年度, 年齢, 年期, 季, 歳次, 年, 年, 年代",,de-DE,ja-JP
unter,"就いて, …中, 下級の, …の間で, 以下, …の間, …の中に, 内, 内, 間に, 基に",,de-DE,ja-JP
man,"人々, 世人, 人々, 人, 本官",,de-DE,ja-JP
wieder,"再び, 又, 薦…, やぱ, 又しても, 新たに, 改めて, 〈矢張〉(り), 事新しく, やっぱ, もう一度, 更, 又もや, 矢っ張り, 更に, やっぱし, も一度",,de-DE,ja-JP
sowie,"及び, 並びに, も, と",,de-DE,ja-JP
diese,"これら, この",,de-DE,ja-JP
dieser,"茲の, そ, その, この方, 御仁, 後者の, 後者",,de-DE,ja-JP
zwei,"二, ツー, 二つの, 二つ, 二, トゥー, 二, もろ, 一双, 両…, 二",,de-DE,ja-JP
ihre,〈貴方〉方の,,de-DE,ja-JP
gegen,"VS, 対する, 対, 近く, 近く, およそ, くらい, …に向かって, …と敵対して, …に対し, コントラ, ぐらい, 前後, …に対して, 対して, 対す, と",,de-DE,ja-JP
Menschen,"人々, ピープル, ピーポー",,de-DE,ja-JP
